,house_number,street,zipcode,boro,latitude,longitude,type_of_violation,status,year_of_violation
804,242,EAST 79 STREET,10075,MANHATTAN,40.77385,-73.956292,maintenance code violation,Close,2019
805,2,ELTON STREET,11208,BROOKLYN,40.683597,-73.885617,maintenance code violation,Close,2013
806,69-21,43 AVENUE,11377,QUEENS,40.741738,-73.895257,maintenance code violation,Open,2018
807,265,MILL ROAD,10306,STATEN ISLAND,40.562387,-74.111617,maintenance code violation,Close,2013
808,265,MILL ROAD,10306,STATEN ISLAND,40.562387,-74.111617,maintenance code violation,Close,2013
809,311,ONDERDONK AVENUE,11385,QUEENS,40.70885,-73.915432,maintenance code violation,Close,2021
810,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,Close,2019
811,515,CATHEDRAL PARKWAY,10025,MANHATTAN,40.803336,-73.964707,maintenance code violation,Close,2019
812,515,CATHEDRAL PARKWAY,10025,MANHATTAN,40.803336,-73.964707,maintenance code violation,Close,2019
813,1562,THIERIOT AVENUE,10460,BRONX,40.839697,-73.865894,maintenance code violation,Close,2018
814,580,EMPIRE BOULEVARD,11225,BROOKLYN,40.66407,-73.94311,maintenance code violation,Open,2019
815,580,EMPIRE BOULEVARD,11225,BROOKLYN,40.66407,-73.94311,maintenance code violation,Open,2019
816,580,EMPIRE BOULEVARD,11225,BROOKLYN,40.66407,-73.94311,maintenance code violation,Open,2019
817,1726,AMSTERDAM AVENUE,10031,MANHATTAN,40.825515,-73.947413,maintenance code violation,Close,2019
818,230,EAST 79 STREET,10075,MANHATTAN,40.773932,-73.956483,maintenance code violation,Close,2019
819,580,EMPIRE BOULEVARD,11225,BROOKLYN,40.66407,-73.94311,maintenance code violation,Close,2019
820,109,SHERMAN AVENUE,10034,MANHATTAN,40.863945,-73.924982,maintenance code violation,Close,2021
821,252,SHERMAN AVENUE,10034,MANHATTAN,40.866148,-73.919071,maintenance code violation,Close,2021
822,1314,LAFAYETTE AVENUE,10474,BRONX,40.816878,-73.886439,maintenance code violation,Close,2021
823,580,EMPIRE BOULEVARD,11225,BROOKLYN,40.66407,-73.94311,maintenance code violation,Close,2019
824,608,WEST 184 STREET,10033,MANHATTAN,40.851245,-73.932807,maintenance code violation,Open,2020
825,269,LINDEN STREET,11237,BROOKLYN,40.697737,-73.915157,maintenance code violation,Close,2013
826,3301,PERRY AVENUE,10467,BRONX,40.877017,-73.875373,maintenance code violation,Close,2020
827,252,SHERMAN AVENUE,10034,MANHATTAN,40.866148,-73.919071,maintenance code violation,Close,2021
828,269,LINDEN STREET,11237,BROOKLYN,40.697737,-73.915157,maintenance code violation,Close,2013
829,240,EAST 79 STREET,10075,MANHATTAN,40.773863,-73.956324,maintenance code violation,Close,2019
830,1580,THIERIOT AVENUE,10460,BRONX,40.840063,-73.866078,maintenance code violation,Close,2018
831,100,SEAMAN AVENUE,10034,MANHATTAN,40.868274,-73.924586,maintenance code violation,Close,2021
832,269,WEST 146 STREET,10039,MANHATTAN,40.823091,-73.94042,maintenance code violation,Open,2020
833,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,Open,2019
